?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBbi_00000408>		
<http://purl.obolibrary.org/obo/FBbi_00000529>		
<http://purl.obolibrary.org/obo/FBbi_00000517>		
<http://purl.obolibrary.org/obo/FBbi_00000293>	"illumination at angles less than the acceptance angle of the image-forming lens is attenuated by a filter to give a colored background of unscattered light; higher angle illumination may be filtered to give a contrasting color"	
<http://purl.obolibrary.org/obo/FBbi_00001000>	"An imaging technique that uses high energy electromagnetic radiation, typically X-rays, as a source of illumination."	
<http://purl.obolibrary.org/obo/FBbi_00000581>	"specimen from which water has been removed by a process that avoids liquid-gas and solid-gas phase transitions."	
<http://purl.obolibrary.org/obo/FBbi_00000095>		
<http://purl.obolibrary.org/obo/FBbi_00000083>		
<http://purl.obolibrary.org/obo/FBbi_00000180>		
<http://purl.obolibrary.org/obo/FBbi_00000071>		
<http://purl.obolibrary.org/obo/FBbi_00000192>		
<http://purl.obolibrary.org/obo/BFO_0000003>	"An entity that has temporal parts and that happens, unfolds or develops through time."@en	
<http://purl.obolibrary.org/obo/FBbi_00001004>	"An imaging technique that creates virtual sections through the use of any kind of penetrating wave."	
<http://purl.obolibrary.org/obo/FBbi_00000601>		
<http://purl.obolibrary.org/obo/FBbi_00000613>		
<http://purl.obolibrary.org/obo/FBbi_00000516>		
<http://purl.obolibrary.org/obo/FBbi_00000504>		
<http://purl.obolibrary.org/obo/FBbi_00000373>	"imaged formed using electrons undergoing elastic scattering at very high angles, with emission of characteristic X-rays"	
<http://purl.obolibrary.org/obo/FBbi_00000419>		
<http://purl.obolibrary.org/obo/FBbi_00000528>		
<http://purl.obolibrary.org/obo/FBbi_00000407>		
<http://purl.obolibrary.org/obo/FBbi_00000098>		
<http://purl.obolibrary.org/obo/FBbi_00000086>		
<http://purl.obolibrary.org/obo/FBbi_00000195>		
<http://purl.obolibrary.org/obo/FBbi_00000074>		
<http://purl.obolibrary.org/obo/FBbi_00000171>		
<http://purl.obolibrary.org/obo/FBbi_00000240>	"methods for imaging objects large enough to be observed by the unaided eye"	
<http://purl.obolibrary.org/obo/FBbi_00000062>		
<http://purl.obolibrary.org/obo/FBbi_00000183>		
<http://purl.obolibrary.org/obo/FBbi_00000050>		
<http://purl.obolibrary.org/obo/FBbi_00000280>		
<http://purl.obolibrary.org/obo/FBbi_00000519>		
<http://purl.obolibrary.org/obo/FBbi_00000369>	"single (or selective) plane illumination."	
<http://purl.obolibrary.org/obo/FBbi_00000367>	"Fluorescence (or Forster) resonance energy transfer; a method of estimating the distance between two fluorophores by measuring the extent of non-radiative energy transfer between the two. Experimentally, this involves selective excitation of one while observing emission from the other."	
<http://purl.obolibrary.org/obo/FBbi_00000093>	"Tissue treated to make cell membranes permeable, typically for the purpose of allowing access by exogenous stains or substrates."	
<http://purl.obolibrary.org/obo/FBbi_00000604>		
<http://purl.obolibrary.org/obo/FBbi_00000507>		
<http://purl.obolibrary.org/obo/FBbi_00000616>		
<http://purl.obolibrary.org/obo/FBbi_00000097>		
<http://purl.obolibrary.org/obo/FBbi_00000085>		
<http://purl.obolibrary.org/obo/FBbi_00000129>	"tissue made permeable by the action of glycerol"	
<http://purl.obolibrary.org/obo/FBbi_00000073>		
<http://purl.obolibrary.org/obo/FBbi_00000182>		
<http://purl.obolibrary.org/obo/FBbi_00000061>		
<http://purl.obolibrary.org/obo/FBbi_00000194>		
<http://purl.obolibrary.org/obo/FBbi_00000170>		
<http://purl.obolibrary.org/obo/FBbi_00000409>		
<http://purl.obolibrary.org/obo/FBbi_00000603>		
<http://purl.obolibrary.org/obo/FBbi_00000615>		
<http://purl.obolibrary.org/obo/FBbi_00000518>		
<http://purl.obolibrary.org/obo/FBbi_00000506>		
